Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2023;702;339;94;85;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2023;1038;377;102;131;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2023;4207;1269;344;479;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2023;2320;691;174;251;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2023;4322;1280;381;490;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2023;1527;1210;171;200;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2023;6738;3187;402;907;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2023;11294;6276;973;1602;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2023;8922;2214;326;821;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2023;7900;2611;405;776;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2023;10674;2915;712;1103;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2023;12356;4404;647;1822;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2023;5518;3657;699;969;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2023;7248;3762;700;1166;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2023;1128;1215;173;230;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2023;2972;2160;460;588;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2023;3882;2684;623;862;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2023;3147;2181;398;480;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2023;3380;2720;486;764;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2023;1029;675;172;227;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2023;6771;4212;760;1102;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2023;7819;6832;1015;1498;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2023;3531;4285;630;669;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2023;1463;2381;554;459;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2023;10173;7113;1180;1474;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2023;2587;3427;415;504;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2023;1413;1534;106;166;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2023;942;1045;88;115;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2023;2369;2206;222;422;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2023;150;194;35;25;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2022;717;316;99;81;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2022;916;330;96;115;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2022;4204;1263;353;476;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2022;2287;706;171;250;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2022;4219;1274;391;506;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2022;1631;1199;174;201;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2022;6781;3165;407;902;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2022;11204;6240;972;1610;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2022;8749;2254;330;822;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2022;7773;2615;421;793;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2022;10489;2878;712;1075;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2022;12015;4247;668;1852;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2022;5404;3681;700;985;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2022;7041;3680;705;1169;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2022;1139;1206;183;231;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2022;2935;2186;478;608;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2022;3819;2739;622;873;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2022;2963;2236;397;498;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2022;3312;2701;498;795;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2022;975;676;173;219;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2022;6588;4230;767;1124;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2022;7770;6903;999;1533;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2022;3499;4325;625;645;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2022;1441;2410;565;464;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2022;10192;7205;1179;1516;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2022;2575;3428;410;521;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2022;1477;1523;109;170;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2022;907;1018;93;123;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2022;2424;2213;208;432;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2022;156;198;37;25;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2021;650;318;96;89;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2021;779;297;90;109;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2021;4215;1275;364;489;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2021;2251;717;166;262;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2021;4104;1253;406;507;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2021;1564;1212;173;186;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2021;6829;3175;414;894;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2021;10551;6355;972;1609;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2021;8809;2211;349;832;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2021;7809;2678;426;801;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2021;10373;2975;704;1077;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2021;11805;4357;676;1890;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2021;5318;3713;659;990;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2021;6884;3720;702;1165;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2021;1162;1241;183;219;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2021;2873;2236;483;624;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2021;3779;2766;636;886;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2021;2669;2221;397;498;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2021;3214;2759;499;801;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2021;963;679;180;219;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2021;6426;4241;808;1135;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2021;7616;6975;979;1555;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2021;3566;4396;619;660;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2021;1424;2477;562;462;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2021;10004;7306;1191;1555;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2021;2593;3490;400;505;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2021;1466;1531;101;166;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2021;927;1021;92;128;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2021;2412;2233;205;432;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2021;144;205;34;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2020;666;317;107;85;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2020;760;317;90;109;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2020;4239;1314;382;478;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2020;2196;708;168;263;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2020;4010;1301;405;521;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2020;1591;1246;165;194;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2020;6733;3183;405;909;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2020;10594;6394;984;1593;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2020;8804;2247;353;841;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2020;7885;2692;447;820;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2020;10455;3003;730;1122;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2020;11713;4382;678;1904;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2020;5240;3750;668;988;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2020;6781;3748;703;1182;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2020;1178;1253;185;220;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;Ellerbek;31_12_2020;2888;2311;489;631;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;Wellingdorf;31_12_2020;3700;2810;631;883;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;Holtenau;31_12_2020;2584;2242;401;488;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;Pries;31_12_2020;3177;2786;495;809;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;Friedrichsort;31_12_2020;961;691;194;230;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;Neumuehlen/Dietrichsdorf;31_12_2020;6343;4242;822;1155;;
de-sh;Kiel;Bevoelkerung;Elmschenhagen;31_12_2020;7602;7058;983;1550;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;Suchsdorf;31_12_2020;3560;4415;625;662;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;Schilksee;31_12_2020;1400;2515;550;461;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;Mettenhof;31_12_2020;9755;7386;1202;1576;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;Russee;31_12_2020;2596;3512;399;505;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;Meimersdorf;31_12_2020;1474;1565;91;162;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2020;875;1025;87;122;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2020;2458;2260;208;439;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2020;146;226;28;23;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2019;607;346;98;88;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2019;757;323;90;114;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2019;4179;1344;396;490;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2019;2195;719;169;256;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2019;3994;1311;400;520;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2019;1607;1227;154;199;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2019;6649;3206;420;903;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2019;10520;6434;1003;1604;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2019;8715;2262;359;824;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2019;7884;2698;457;830;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2019;10289;3035;757;1131;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2019;11488;4434;697;1939;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2019;5171;3789;689;986;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2019;6788;3748;719;1222;54.3046465;10.1007406
