Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte;lat;lon
de-sh;Kiel;Bevoelkerung;31_12_2019;Schreventeich;Personen;5317.0;1377.0;597.0;87;178;322;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2019;Suedfriedhof;Personen;7257.0;1597.0;597.0;91;244;410;;
de-sh;Kiel;Bevoelkerung;31_12_2019;Gaarden-Ost;Personen;6593.0;1176.0;1233.0;217;650;729;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2019;Gaarden-Sued/Kronsburg;Personen;3173.0;1181.0;701.0;149;261;382;;
de-sh;Kiel;Bevoelkerung;31_12_2019;Hassee;Personen;4570.0;1369.0;685.0;164;285;436;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2019;Hasseldieksdamm;Personen;657.0;364.0;221.0;62;42;90;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2019;Ellerbek;Personen;1742.0;685.0;449.0;117;133;224;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2019;Wellingdorf;Personen;2475.0;971.0;468.0;110;284;292;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2019;Holtenau;Personen;1387.0;768.0;315.0;95;104;168;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31_12_2019;Pries;Personen;1856.0;875.0;491.0;127;239;274;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31_12_2019;Friedrichsort;Personen;723.0;221.0;136.0;23;52;71;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31_12_2019;Neumuehlen/Dietrichsdorf;Personen;3432.0;1391.0;795.0;186;415;456;;
de-sh;Kiel;Bevoelkerung;31_12_2019;Elmschenhagen;Personen;3917.0;2210.0;1229.0;334;474;552;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31_12_2019;Suchsdorf;Personen;1791.0;1258.0;841.0;201;185;256;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31_12_2019;Schilksee;Personen;1279.0;943.0;238.0;81;72;160;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31_12_2019;Mettenhof;Personen;3321.0;1887.0;1753.0;368;605;729;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31_12_2019;Russee;Personen;1231.0;1073.0;573.0;172;145;230;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31_12_2019;Meimersdorf;Personen;283.0;305.0;462.0;68;74;86;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31_12_2019;Moorsee;Personen;242.0;245.0;250.0;40;46;53;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31_12_2019;Wellsee;Personen;1057.0;629.0;467.0;120;154;155;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31_12_2019;Roenne;Personen;70.0;72.0;35.0;8;7;20;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Altstadt;Haushalte;335.0;136.0;38.0;5;7;39;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31_12_2018;Vorstadt;Haushalte;664.0;161.0;43.0;3;9;53;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31_12_2018;Exerzierplatz;Haushalte;3013.0;696.0;262.0;22;74;182;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31_12_2018;Damperhof;Haushalte;1720.0;335.0;136.0;16;43;91;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31_12_2018;Brunswik;Haushalte;3194.0;694.0;218.0;37;109;181;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31_12_2018;Duesternbrook;Haushalte;757.0;341.0;221.0;49;35;111;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Bluecherplatz;Haushalte;4335.0;1341.0;730.0;79;242;295;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Wik;Haushalte;5918.0;2475.0;1235.0;232;379;561;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31_12_2018;Ravensberg;Haushalte;5730.0;1178.0;500.0;53;160;302;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31_12_2018;Schreventeich;Haushalte;5194.0;1340.0;589.0;86;188;314;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2018;Suedfriedhof;Haushalte;7278.0;1638.0;583.0;92;253;411;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Ost;Haushalte;6492.0;1165.0;1193.0;192;631;726;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Sued/Kronsburg;Haushalte;3171.0;1204.0;704.0;151;275;363;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Hassee;Haushalte;4576.0;1336.0;653.0;174;274;432;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2018;Hasseldieksdamm;Haushalte;598.0;378.0;220.0;57;45;83;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2018;Ellerbek;Haushalte;1666.0;703.0;441.0;113;137;208;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellingdorf;Haushalte;2375.0;961.0;468.0;117;281;280;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2018;Holtenau;Haushalte;1317.0;764.0;321.0;92;101;181;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31_12_2018;Pries;Haushalte;1762.0;861.0;508.0;135;230;261;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31_12_2018;Friedrichsort;Haushalte;673.0;217.0;140.0;24;61;68;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31_12_2018;Neumuehlen/Dietrichsdorf;Haushalte;3419.0;1383.0;758.0;188;428;452;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Elmschenhagen;Haushalte;3801.0;2178.0;1180.0;331;482;555;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31_12_2018;Suchsdorf;Haushalte;1655.0;1253.0;851.0;199;179;259;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31_12_2018;Schilksee;Haushalte;1144.0;930.0;243.0;88;68;156;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31_12_2018;Mettenhof;Haushalte;3259.0;1900.0;1741.0;375;638;714;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31_12_2018;Russee;Haushalte;1212.0;1074.0;572.0;171;154;234;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31_12_2018;Meimersdorf;Haushalte;290.0;291.0;472.0;71;78;81;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31_12_2018;Moorsee;Haushalte;248.0;254.0;254.0;36;43;51;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellsee;Haushalte;1042.0;623.0;463.0;125;153;145;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31_12_2018;Roenne;Haushalte;62.0;75.0;33.0;9;8;17;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Altstadt;Personen;381.0;236.0;117.0;6;11;84;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31_12_2018;Vorstadt;Personen;669.0;327.0;147.0;16;31;128;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31_12_2018;Exerzierplatz;Personen;3312.0;1517.0;768.0;92;300;522;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31_12_2018;Damperhof;Personen;1747.0;698.0;476.0;53;105;246;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31_12_2018;Brunswik;Personen;3331.0;1392.0;721.0;135;304;462;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31_12_2018;Duesternbrook;Personen;969.0;866.0;872.0;145;122;265;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Bluecherplatz;Personen;4413.0;2581.0;2646.0;259;639;683;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Wik;Personen;6407.0;5368.0;4519.0;832;1190;1340;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31_12_2018;Ravensberg;Personen;6335.0;2888.0;1726.0;170;537;767;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31_12_2018;Schreventeich;Personen;5369.0;2863.0;2070.0;222;589;775;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2018;Suedfriedhof;Personen;7578.0;3360.0;2090.0;335;838;1135;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Ost;Personen;6859.0;2432.0;4762.0;723;2286;1816;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2018;Gaarden-Sued/Kronsburg;Personen;3402.0;2438.0;2628.0;498;848;950;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Hassee;Personen;4676.0;2700.0;2426.0;554;929;1062;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2018;Hasseldieksdamm;Personen;664.0;754.0;864.0;176;161;233;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2018;Ellerbek;Personen;1817.0;1444.0;1733.0;313;432;582;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellingdorf;Personen;2545.0;1949.0;1672.0;398;771;697;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2018;Holtenau;Personen;1442.0;1584.0;1428.0;279;373;596;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31_12_2018;Pries;Personen;1860.0;1788.0;1858.0;464;726;725;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31_12_2018;Friedrichsort;Personen;712.0;461.0;506.0;83;156;174;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31_12_2018;Neumuehlen/Dietrichsdorf;Personen;3652.0;2955.0;2966.0;669;1344;1145;;
de-sh;Kiel;Bevoelkerung;31_12_2018;Elmschenhagen;Personen;4089.0;4312.0;4654.0;1203;1568;1394;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31_12_2018;Suchsdorf;Personen;1756.0;2563.0;3225.0;690;543;619;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31_12_2018;Schilksee;Personen;1293.0;1845.0;986.0;316;196;391;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31_12_2018;Mettenhof;Personen;3421.0;3820.0;7496.0;1236;2266;1792;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31_12_2018;Russee;Personen;1257.0;2088.0;2108.0;576;453;594;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31_12_2018;Meimersdorf;Personen;313.0;579.0;1858.0;206;231;172;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31_12_2018;Moorsee;Personen;253.0;499.0;944.0;131;122;145;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellsee;Personen;1109.0;1245.0;1813.0;355;450;353;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31_12_2018;Roenne;Personen;70.0;150.0;128.0;22;19;36;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Haushalte;381.0;118.0;31.0;1;4;32;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Haushalte;669.0;163.0;38.0;5;13;51;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Haushalte;3312.0;758.0;217.0;27;117;222;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Haushalte;1747.0;350.0;128.0;16;46;109;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Haushalte;3331.0;696.0;196.0;43;129;199;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Haushalte;969.0;436.0;221.0;44;48;111;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Haushalte;4413.0;1289.0;713.0;81;272;302;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Haushalte;6407.0;2684.0;1183.0;255;460;568;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Haushalte;6335.0;1444.0;467.0;52;219;337;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Haushalte;5369.0;1431.0;553.0;67;229;339;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Haushalte;7578.0;1677.0;557.0;98;328;485;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Haushalte;6859.0;1216.0;1132.0;203;774;753;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Haushalte;3402.0;1219.0;663.0;150;321;399;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Haushalte;4676.0;1350.0;620.0;165;362;456;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Haushalte;664.0;377.0;217.0;54;57;94;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Haushalte;1817.0;723.0;422.0;92;154;236;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Haushalte;2545.0;976.0;433.0;121;302;299;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Haushalte;1442.0;791.0;362.0;87;135;227;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31_12_2017;Pries;Haushalte;1860.0;894.0;476.0;139;269;307;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;31_12_2017;Friedrichsort;Haushalte;712.0;230.0;130.0;26;59;75;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;31_12_2017;Neumuehlen/Dietrichsdorf;Haushalte;3652.0;1478.0;737.0;198;490;481;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Elmschenhagen;Haushalte;4089.0;2156.0;1166.0;364;578;586;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;31_12_2017;Suchsdorf;Haushalte;1756.0;1282.0;824.0;216;206;265;54.3573804;10.0787571
de-sh;Kiel;Bevoelkerung;31_12_2017;Schilksee;Haushalte;1293.0;921.0;253.0;98;80;175;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;31_12_2017;Mettenhof;Haushalte;3421.0;1910.0;1689.0;365;734;737;54.3223529;10.0532291
de-sh;Kiel;Bevoelkerung;31_12_2017;Russee;Haushalte;1257.0;1044.0;552.0;181;174;244;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;31_12_2017;Meimersdorf;Haushalte;313.0;289.0;478.0;60;91;72;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;31_12_2017;Moorsee;Haushalte;253.0;249.0;245.0;39;43;61;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellsee;Haushalte;1109.0;623.0;463.0;110;165;148;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;31_12_2017;Roenne;Haushalte;70.0;75.0;33.0;7;7;17;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Personen;381.0;236.0;117.0;6;11;84;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Personen;669.0;327.0;147.0;16;31;128;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Personen;3312.0;1517.0;768.0;92;300;522;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Personen;1747.0;698.0;476.0;53;105;246;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Personen;3331.0;1392.0;721.0;135;304;462;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Personen;969.0;866.0;872.0;145;122;265;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Personen;4413.0;2581.0;2646.0;259;639;683;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Personen;6407.0;5368.0;4519.0;832;1190;1340;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Personen;6335.0;2888.0;1726.0;170;537;767;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Personen;5369.0;2863.0;2070.0;222;589;775;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Personen;7578.0;3360.0;2090.0;335;838;1135;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Personen;6859.0;2432.0;4762.0;723;2286;1816;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Personen;3402.0;2438.0;2628.0;498;848;950;;
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Personen;4676.0;2700.0;2426.0;554;929;1062;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Personen;664.0;754.0;864.0;176;161;233;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Personen;1817.0;1444.0;1733.0;313;432;582;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Personen;2545.0;1949.0;1672.0;398;771;697;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Personen;1442.0;1584.0;1428.0;279;373;596;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;31_12_2017;Pries;Personen;1860.0;1788.0;1858.0;464;726;725;54.3979145;10.170429
