Land;Stadt;Kategorie;Datum;Stadtteilnummer;Merkmal;Stadtteil;0 bis unter 3;3 bis unter 6; 6 bis unter 10;10 bis unter 12;12 bis unter 15;15 bis unter 18;18 bis unter 21;21 bis unter 25;25 bis unter 30;30 bis unter 35;35 bis unter 40;40 bis unter 45;45 bis unter 50;50 bis unter 55;55 bis unter 60;60 bis unter 65;65 bis unter 70;70 bis unter 75;75 bis unter 80;80 und aelter
de-sh;Kiel;Bevoelkerung;2023_12_31;1;Einwohner nach Altersgruppen;Altstadt;19;14;14;8;1;10;39;143;158;141;85;74;49;54;63;55;43;48;49;153
de-sh;Kiel;Bevoelkerung;2023_12_31;2;Einwohner nach Altersgruppen;Vorstadt;33;35;30;7;18;14;46;162;309;239;94;77;74;70;84;66;60;49;66;115
de-sh;Kiel;Bevoelkerung;2023_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;158;114;121;40;59;40;153;710;1064;795;488;349;269;280;341;251;243;190;174;460
de-sh;Kiel;Bevoelkerung;2023_12_31;4;Einwohner nach Altersgruppen;Damperhof;84;56;61;27;37;38;102;391;567;394;257;201;165;135;184;141;111;145;120;220
de-sh;Kiel;Bevoelkerung;2023_12_31;5;Einwohner nach Altersgruppen;Brunswik;116;78;79;28;51;82;244;789;1132;780;413;338;288;286;338;302;248;238;196;447
de-sh;Kiel;Bevoelkerung;2023_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;73;75;83;48;69;69;122;224;253;200;159;134;172;203;261;198;165;158;144;298
de-sh;Kiel;Bevoelkerung;2023_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;366;262;291;140;199;201;280;787;1431;1198;950;709;577;669;708;666;500;426;321;553
de-sh;Kiel;Bevoelkerung;2023_12_31;8;Einwohner nach Altersgruppen;Wik;472;474;607;291;448;461;755;1562;2054;1872;1410;1138;1042;1177;1412;1223;1002;810;697;1238
de-sh;Kiel;Bevoelkerung;2023_12_31;9;Einwohner nach Altersgruppen;Ravensberg;268;179;207;92;122;128;566;1805;2215;1495;934;610;545;527;657;551;443;323;241;375
de-sh;Kiel;Bevoelkerung;2023_12_31;10;Einwohner nach Altersgruppen;Schreventeich;249;249;244;121;133;155;393;1481;1967;1313;904;634;516;530;609;526;489;387;279;513
de-sh;Kiel;Bevoelkerung;2023_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;325;243;286;133;196;180;515;1772;2567;1841;1270;914;698;738;865;710;554;408;351;838
de-sh;Kiel;Bevoelkerung;2023_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;630;679;835;369;549;603;755;1454;1830;1676;1452;1284;1197;1230;1255;1094;784;605;408;540
de-sh;Kiel;Bevoelkerung;2023_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;265;270;409;174;253;306;346;551;763;778;717;670;620;699;908;828;593;474;395;824
de-sh;Kiel;Bevoelkerung;2023_12_31;14;Einwohner nach Altersgruppen;Hassee;309;306;356;178;273;301;378;880;1231;1164;928;817;688;849;992;821;688;515;403;799
de-sh;Kiel;Bevoelkerung;2023_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;54;55;112;45;88;78;93;115;117;125;158;171;160;204;281;212;180;129;106;263
de-sh;Kiel;Bevoelkerung;2023_12_31;16;Einwohner nach Altersgruppen;Ellerbek;145;161;216;111;154;180;201;347;456;467;391;336;347;381;485;462;362;294;232;452
de-sh;Kiel;Bevoelkerung;2023_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;191;215;284;115;191;186;243;424;640;595;493;429;413;527;607;589;504;405;324;676
de-sh;Kiel;Bevoelkerung;2023_12_31;18;Einwohner nach Altersgruppen;Holtenau;129;156;220;104;176;183;196;300;376;411;387;343;340;427;531;439;334;305;275;574
de-sh;Kiel;Bevoelkerung;2023_12_31;19;Einwohner nach Altersgruppen;Pries;209;180;305;146;232;193;208;291;391;457;442;441;419;516;652;576;449;369;311;563
de-sh;Kiel;Bevoelkerung;2023_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;65;52;67;45;55;62;56;91;131;144;143;135;132;139;178;138;113;98;71;188
de-sh;Kiel;Bevoelkerung;2023_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;362;402;531;221;318;345;464;864;1101;986;840;723;680;758;886;883;686;580;431;784
de-sh;Kiel;Bevoelkerung;2023_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;444;437;683;329;507;514;536;761;914;1090;1056;1080;1000;1201;1472;1272;1032;952;772;1112
de-sh;Kiel;Bevoelkerung;2023_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;172;230;344;184;295;326;297;309;379;422;485;479;579;715;841;688;585;510;410;865
de-sh;Kiel;Bevoelkerung;2023_12_31;24;Einwohner nach Altersgruppen;Schilksee;82;87;123;65;78;98;81;99;119;167;188;223;208;251;381;412;395;461;463;876
de-sh;Kiel;Bevoelkerung;2023_12_31;25;Einwohner nach Altersgruppen;Mettenhof;642;800;1148;572;865;820;725;882;1125;1297;1293;1273;1073;1148;1244;1290;1019;818;636;1270
de-sh;Kiel;Bevoelkerung;2023_12_31;26;Einwohner nach Altersgruppen;Russee;153;169;305;108;192;189;201;213;215;341;390;427;389;527;614;623;577;462;322;516
de-sh;Kiel;Bevoelkerung;2023_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;78;126;204;99;162;170;99;97;104;145;200;284;312;305;267;174;119;101;70;103
de-sh;Kiel;Bevoelkerung;2023_12_31;28;Einwohner nach Altersgruppen;Moorsee;70;87;119;73;104;79;62;63;90;111;162;204;203;143;148;124;106;86;62;94
de-sh;Kiel;Bevoelkerung;2023_12_31;29;Einwohner nach Altersgruppen;Wellsee;150;155;252;114;176;164;156;171;297;358;352;387;314;360;478;410;278;201;169;277
de-sh;Kiel;Bevoelkerung;2023_12_31;30;Einwohner nach Altersgruppen;Roenne;8;17;12;8;12;10;8;6;14;17;38;23;20;26;42;30;36;27;8;42
de-sh;Kiel;Bevoelkerung;2022_12_31;1;Einwohner nach Altersgruppen;Altstadt;22;15;15;3;3;12;45;141;157;129;89;72;45;60;56;59;42;41;48;159
de-sh;Kiel;Bevoelkerung;2022_12_31;2;Einwohner nach Altersgruppen;Vorstadt;24;33;26;12;16;12;30;167;261;176;91;68;67;61;80;53;53;52;61;114
de-sh;Kiel;Bevoelkerung;2022_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;149;112;117;37;53;51;180;719;1080;742;491;340;279;295;331;252;234;192;183;459
de-sh;Kiel;Bevoelkerung;2022_12_31;4;Einwohner nach Altersgruppen;Damperhof;88;59;58;31;27;35;84;413;543;407;260;201;153;144;186;142;117;141;113;212
de-sh;Kiel;Bevoelkerung;2022_12_31;5;Einwohner nach Altersgruppen;Brunswik;124;86;77;32;58;76;244;765;1087;733;415;338;293;298;349;280;251;235;212;437
de-sh;Kiel;Bevoelkerung;2022_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;71;80;90;41;79;73;124;215;264;221;190;141;190;210;265;184;175;170;129;293
de-sh;Kiel;Bevoelkerung;2022_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;368;255;304;131;202;206;258;853;1400;1252;917;675;596;723;723;605;500;419;340;528
de-sh;Kiel;Bevoelkerung;2022_12_31;8;Einwohner nach Altersgruppen;Wik;486;448;617;300;455;427;691;1664;2036;1869;1361;1152;1032;1228;1359;1181;991;825;691;1213
de-sh;Kiel;Bevoelkerung;2022_12_31;9;Einwohner nach Altersgruppen;Ravensberg;297;178;213;87;121;129;476;1833;2188;1488;931;605;487;580;652;534;415;319;251;371
de-sh;Kiel;Bevoelkerung;2022_12_31;10;Einwohner nach Altersgruppen;Schreventeich;280;231;251;111;127;163;401;1493;1881;1294;908;604;510;561;614;528;448;394;281;522
de-sh;Kiel;Bevoelkerung;2022_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;310;245;261;116;170;185;458;1807;2543;1842;1256;848;680;801;858;678;522;411;351;812
de-sh;Kiel;Bevoelkerung;2022_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;619;672;797;363;540;567;738;1417;1766;1657;1395;1248;1214;1233;1252;1043;752;570;387;552
de-sh;Kiel;Bevoelkerung;2022_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;256;311;377;174;270;277;329;555;759;742;704;667;607;761;927;789;553;490;420;802
de-sh;Kiel;Bevoelkerung;2022_12_31;14;Einwohner nach Altersgruppen;Hassee;289;295;340;172;270;282;412;851;1221;1106;862;785;689;904;941;835;639;528;412;762
de-sh;Kiel;Bevoelkerung;2022_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;55;65;101;58;84;84;94;104;109;130;154;174;169;238;280;197;164;126;112;261
de-sh;Kiel;Bevoelkerung;2022_12_31;16;Einwohner nach Altersgruppen;Ellerbek;154;166;214;114;168;156;207;342;453;453;378;350;334;420;483;451;359;297;238;470
de-sh;Kiel;Bevoelkerung;2022_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;212;224;270;128;195;188;241;397;642;594;477;423;437;549;609;580;495;422;313;657
de-sh;Kiel;Bevoelkerung;2022_12_31;18;Einwohner nach Altersgruppen;Holtenau;133;156;208;108;191;165;174;259;341;384;371;322;349;473;528;424;341;305;287;575
de-sh;Kiel;Bevoelkerung;2022_12_31;19;Einwohner nach Altersgruppen;Pries;185;196;317;138;219;207;215;292;389;438;398;448;426;548;662;583;409;377;308;551
de-sh;Kiel;Bevoelkerung;2022_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;62;45;79;37;49;57;49;73;127;130;139;136;117;162;178;124;120;87;77;195
de-sh;Kiel;Bevoelkerung;2022_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;382;386;508;203;308;347;446;854;1062;997;796;710;654;816;901;854;684;570;435;796
de-sh;Kiel;Bevoelkerung;2022_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;446;475;682;313;491;528;510;770;911;1125;1044;1055;978;1297;1473;1248;1036;992;749;1082
de-sh;Kiel;Bevoelkerung;2022_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;166;229;363;173;291;332;291;332;351;427;448;491;565;779;830;665;557;528;429;847
de-sh;Kiel;Bevoelkerung;2022_12_31;24;Einwohner nach Altersgruppen;Schilksee;88;80;130;60;89;89;85;96;113;162;180;219;207;270;400;388;397;481;474;872
de-sh;Kiel;Bevoelkerung;2022_12_31;25;Einwohner nach Altersgruppen;Mettenhof;722;818;1119;581;875;772;746;901;1106;1332;1312;1228;1062;1216;1286;1281;980;829;643;1283
de-sh;Kiel;Bevoelkerung;2022_12_31;26;Einwohner nach Altersgruppen;Russee;144;188;276;105;199;197;218;194;227;338;379;408;413;581;629;611;558;460;296;513
de-sh;Kiel;Bevoelkerung;2022_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;90;147;207;109;172;140;121;90;112;174;213;290;299;333;231;172;113;105;65;96
de-sh;Kiel;Bevoelkerung;2022_12_31;28;Einwohner nach Altersgruppen;Moorsee;76;75;129;68;94;83;65;48;79;100;169;197;196;138;147;135;99;88;66;89
de-sh;Kiel;Bevoelkerung;2022_12_31;29;Einwohner nach Altersgruppen;Wellsee;169;185;257;125;162;164;167;162;299;374;372;364;321;386;495;383;245;227;150;270
de-sh;Kiel;Bevoelkerung;2022_12_31;30;Einwohner nach Altersgruppen;Roenne;11;12;17;8;11;9;12;8;12;17;33;26;19;30;43;35;36;26;8;43
de-sh;Kiel;Bevoelkerung;2021_12_31;1;Einwohner nach Altersgruppen;Altstadt;24;15;14;1;6;14;43;127;147;114;82;64;37;74;57;51;42;38;47;156
de-sh;Kiel;Bevoelkerung;2021_12_31;2;Einwohner nach Altersgruppen;Vorstadt;20;22;23;8;8;10;32;151;218;128;78;54;51;70;75;46;53;57;61;110
de-sh;Kiel;Bevoelkerung;2021_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;145;120;102;31;45;53;177;771;1041;780;505;319;290;314;324;251;207;208;201;459
de-sh;Kiel;Bevoelkerung;2021_12_31;4;Einwohner nach Altersgruppen;Damperhof;77;58;47;23;36;33;100;408;540;396;257;198;151;166;173;137;128;139;120;209
de-sh;Kiel;Bevoelkerung;2021_12_31;5;Einwohner nach Altersgruppen;Brunswik;120;78;75;35;59;73;215;804;1002;726;418;323;288;314;345;261;237;237;198;462
de-sh;Kiel;Bevoelkerung;2021_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;72;69;88;41;75;76;107;251;267;203;165;135;182;215;263;168;179;157;147;275
de-sh;Kiel;Bevoelkerung;2021_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;357;269;295;140;198;188;310;899;1395;1257;893;704;612;725;710;598;469;429;354;510
de-sh;Kiel;Bevoelkerung;2021_12_31;8;Einwohner nach Altersgruppen;Wik;461;435;547;252;422;389;679;1615;2061;1867;1288;1071;999;1320;1288;1120;956;798;708;1211
de-sh;Kiel;Bevoelkerung;2021_12_31;9;Einwohner nach Altersgruppen;Ravensberg;257;175;207;86;118;130;550;1903;2166;1467;906;607;498;615;647;506;420;304;257;382
de-sh;Kiel;Bevoelkerung;2021_12_31;10;Einwohner nach Altersgruppen;Schreventeich;287;232;252;87;138;162;424;1553;1894;1317;916;559;506;616;585;534;455;367;298;532
de-sh;Kiel;Bevoelkerung;2021_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;295;238;252;121;146;178;485;1906;2493;1902;1221;855;671;816;824;651;495;401;347;832
de-sh;Kiel;Bevoelkerung;2021_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;655;666;732;377;533;566;720;1461;1769;1609;1346;1281;1224;1248;1258;1020;736;576;408;543
de-sh;Kiel;Bevoelkerung;2021_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;265;323;351;165;279;251;340;532;738;738;676;660;620;796;928;758;532;490;439;799
de-sh;Kiel;Bevoelkerung;2021_12_31;14;Einwohner nach Altersgruppen;Hassee;313;265;323;166;261;258;398;891;1215;1133;827;701;714;961;931;797;645;514;403;755
de-sh;Kiel;Bevoelkerung;2021_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;61;79;94;56;83;92;84;119;111;140;170;172;151;277;267;176;160;126;116;271
de-sh;Kiel;Bevoelkerung;2021_12_31;16;Einwohner nach Altersgruppen;Ellerbek;135;188;217;108;148;168;195;340;478;436;379;367;312;447;487;425;341;313;253;479
de-sh;Kiel;Bevoelkerung;2021_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;236;227;252;129;177;188;210;433;640;586;481;440;418;573;628;565;465;421;319;679
de-sh;Kiel;Bevoelkerung;2021_12_31;18;Einwohner nach Altersgruppen;Holtenau;137;123;179;107;150;154;169;245;330;361;339;300;345;480;487;387;329;295;304;564
de-sh;Kiel;Bevoelkerung;2021_12_31;19;Einwohner nach Altersgruppen;Pries;162;202;293;133;203;201;208;297;401;439;397;421;444;596;651;549;402;397;307;570
de-sh;Kiel;Bevoelkerung;2021_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;56;54;91;31;45;54;53;79;133;128;126;129;128;159;179;125;109;86;84;192
de-sh;Kiel;Bevoelkerung;2021_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;365;378;485;202;325;308;448;843;1067;950;762;665;699;828;934;804;688;558;474;827
de-sh;Kiel;Bevoelkerung;2021_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;424;472;656;323;498;514;497;780;950;1073;1034;1013;982;1371;1509;1226;1046;973;730;1054
de-sh;Kiel;Bevoelkerung;2021_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;198;261;338;184;338;326;289;330;367;408;462;517;587;833;788;663;567;511;460;814
de-sh;Kiel;Bevoelkerung;2021_12_31;24;Einwohner nach Altersgruppen;Schilksee;90;72;129;57;98;81;84;92;121;176;201;204;205;306;394;366;416;494;527;812
de-sh;Kiel;Bevoelkerung;2021_12_31;25;Einwohner nach Altersgruppen;Mettenhof;729;821;1129;589;823;738;729;901;1177;1346;1258;1225;1069;1220;1342;1240;937;833;694;1256
de-sh;Kiel;Bevoelkerung;2021_12_31;26;Einwohner nach Altersgruppen;Russee;163;208;247;117;186;206;222;197;233;361;396;396;435;596;618;626;543;423;300;515
de-sh;Kiel;Bevoelkerung;2021_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;102;148;209;113;166;131;111;105;110;173;230;290;314;320;214;155;118;94;72;89
de-sh;Kiel;Bevoelkerung;2021_12_31;28;Einwohner nach Altersgruppen;Moorsee;85;79;136;72;87;75;58;49;81;119;175;215;172;161;152;116;97;88;70;81
de-sh;Kiel;Bevoelkerung;2021_12_31;29;Einwohner nach Altersgruppen;Wellsee;170;202;242;121;161;171;168;191;298;354;381;367;320;427;474;376;237;220;157;245
de-sh;Kiel;Bevoelkerung;2021_12_31;30;Einwohner nach Altersgruppen;Roenne;13;11;12;11;5;10;9;8;18;24;26;25;18;32;37;38;36;20;10;43
de-sh;Kiel;Bevoelkerung;2020_12_31;1;Einwohner nach Altersgruppen;Altstadt;26;18;12;1;8;16;51;143;159;121;71;58;37;71;55;44;46;40;49;149
de-sh;Kiel;Bevoelkerung;2020_12_31;2;Einwohner nach Altersgruppen;Vorstadt;28;18;21;6;8;12;40;167;194;124;79;59;48;74;68;55;45;64;60;106
de-sh;Kiel;Bevoelkerung;2020_12_32;3;Einwohner nach Altersgruppen;Exerzierplatz;165;108;87;40;36;49;182;817;1043;787;497;317;283;334;322;252;201;210;222;461
de-sh;Kiel;Bevoelkerung;2020_12_33;4;Einwohner nach Altersgruppen;Damperhof;70;50;52;20;35;30;108;406;534;367;258;185;148;173;174;130;131;133;124;207
de-sh;Kiel;Bevoelkerung;2020_12_34;5;Einwohner nach Altersgruppen;Brunswik;128;68;76;32;70;68;209;747;1019;754;388;336;274;341;329;253;256;212;223;454
de-sh;Kiel;Bevoelkerung;2020_12_35;6;Einwohner nach Altersgruppen;Duesternbrook;81;78;85;58;62;72;121;246;293;211;161;152;172;257;214;176;173;161;168;255
de-sh;Kiel;Bevoelkerung;2020_12_36;7;Einwohner nach Altersgruppen;Bluecherpatz;350;272;282;142;196;191;297;932;1337;1257;905;681;628;762;694;573;469;417;345;500
de-sh;Kiel;Bevoelkerung;2020_12_37;8;Einwohner nach Altersgruppen;Wik;489;465;551;260;401;378;738;1636;2071;1836;1292;1085;1011;1369;1253;1100;915;808;779;1128
