Land;Stadt;Kategorie;Datum;Stadtteilnummer;Merkmal;Stadtteil;0 bis unter 3;3 bis unter 6; 6 bis unter 10;10 bis unter 12;12 bis unter 15;15 bis unter 18;18 bis unter 21;21 bis unter 25;25 bis unter 30;30 bis unter 35;35 bis unter 40;40 bis unter 45;45 bis unter 50;50 bis unter 55;55 bis unter 60;60 bis unter 65;65 bis unter 70;70 bis unter 75;75 bis unter 80;80 und aelter
de-sh;Kiel;Bevoelkerung;2017_12_31;19;Einwohner nach Altersgruppen;Pries;186;213;279;120;201;229;248;332;429;366;409;414;561;690;588;445;446;375;415;680
de-sh;Kiel;Bevoelkerung;2017_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;66;55;66;33;42;49;54;101;137;125;128;123;169;175;138;124;100;100;129;241
de-sh;Kiel;Bevoelkerung;2017_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;387;367;405;237;311;346;504;910;1101;868;704;662;812;944;890;740;647;522;642;1032
de-sh;Kiel;Bevoelkerung;2017_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;444;484;626;352;491;547;605;725;1046;953;999;921;1318;1559;1338;1159;1121;874;860;1101
de-sh;Kiel;Bevoelkerung;2017_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;227;239;394;233;334;289;309;312;407;360;454;567;823;859;679;597;564;503;626;855
de-sh;Kiel;Bevoelkerung;2017_12_31;24;Einwohner nach Altersgruppen;Schilksee;77;87;122;59;83;105;109;94;168;159;206;193;261;371;366;389;498;508;591;796
de-sh;Kiel;Bevoelkerung;2017_12_31;25;Einwohner nach Altersgruppen;Mettenhof;791;827;1159;535;770;762;745;871;1246;1217;1204;1083;1266;1372;1380;1102;940;801;999;1315
de-sh;Kiel;Bevoelkerung;2017_12_31;26;Einwohner nach Altersgruppen;Russee;179;172;238;104;215;252;228;213;291;325;399;407;579;641;651;596;492;350;401;486
de-sh;Kiel;Bevoelkerung;2017_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;164;172;247;118;115;143;86;97;137;213;311;321;357;244;175;118;114;80;65;112
de-sh;Kiel;Bevoelkerung;2017_12_31;28;Einwohner nach Altersgruppen;Moorsee;80;98;131;56;70;59;48;65;73;147;205;203;141;159;148;100;103;75;80;71
de-sh;Kiel;Bevoelkerung;2017_12_31;29;Einwohner nach Altersgruppen;Wellsee;210;182;248;112;157;183;146;192;331;381;378;359;403;517;411;282;257;172;200;277
de-sh;Kiel;Bevoelkerung;2017_12_31;30;Einwohner nach Altersgruppen;Roenne;12;10;16;6;10;8;6;14;14;27;27;23;33;40;41;36;28;12;31;73
de-sh;Kiel;Bevoelkerung;2016_12_31;1;Einwohner nach Altersgruppen;Altstadt;17;10;7;6;5;5;24;78;123;68;38;28;32;43;25;36;23;29;43;151
de-sh;Kiel;Bevoelkerung;2016_12_31;2;Einwohner nach Altersgruppen;Vorstadt;21;17;11;11;7;7;48;162;213;117;83;59;63;70;49;61;67;66;72;115
de-sh;Kiel;Bevoelkerung;2016_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;155;83;77;45;42;59;222;824;1093;738;452;339;345;358;265;238;230;241;238;618
de-sh;Kiel;Bevoelkerung;2016_12_31;4;Einwohner nach Altersgruppen;Damperhof;79;50;45;17;36;33;121;396;548;371;253;153;178;181;152;135;142;128;137;282
de-sh;Kiel;Bevoelkerung;2016_12_31;5;Einwohner nach Altersgruppen;Brunswik;126;89;87;45;61;67;218;813;1017;699;444;326;364;355;278;255;240;220;261;639
de-sh;Kiel;Bevoelkerung;2016_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;63;75;101;44;73;73;120;263;293;236;182;190;210;240;165;173;165;169;200;271
de-sh;Kiel;Bevoelkerung;2016_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;388;251;309;139;173;203;321;906;1454;1204;877;676;791;748;619;507;457;404;385;630
de-sh;Kiel;Bevoelkerung;2016_12_31;8;Einwohner nach Altersgruppen;Wik;559;463;598;257;378;413;799;1706;2252;1654;1262;1057;1327;1315;1151;995;877;827;931;1440
de-sh;Kiel;Bevoelkerung;2016_12_31;9;Einwohner nach Altersgruppen;Ravensberg;298;204;182;85;114;126;596;1814;2499;1495;838;569;637;672;530;435;347;307;306;508
de-sh;Kiel;Bevoelkerung;2016_12_31;10;Einwohner nach Altersgruppen;Schreventeich;305;223;192;112;156;167;423;1619;2135;1290;753;566;653;622;569;483;410;359;390;702
de-sh;Kiel;Bevoelkerung;2016_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;305;231;220;127;180;200;584;1936;2830;1763;1086;761;913;861;681;547;458;401;501;1015
de-sh;Kiel;Bevoelkerung;2016_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;638;584;711;388;515;530;733;1406;1966;1611;1485;1317;1424;1355;1179;870;694;549;468;752
de-sh;Kiel;Bevoelkerung;2016_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;312;268;368;160;253;250;342;592;776;706;658;641;781;940;807;584;578;516;568;874
de-sh;Kiel;Bevoelkerung;2016_12_31;14;Einwohner nach Altersgruppen;Hassee;267;241;312;151;290;297;482;916;1338;929;760;713;969;968;833;673;538;476;554;908
de-sh;Kiel;Bevoelkerung;2016_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;67;58;98;53;100;107;99;103;136;150;145;145;275;283;180;175;138;129;177;347
de-sh;Kiel;Bevoelkerung;2016_12_31;16;Einwohner nach Altersgruppen;Ellerbek;175;151;193;113;166;167;227;308;421;390;383;347;429;492;440;390;352;299;348;662
de-sh;Kiel;Bevoelkerung;2016_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;247;180;237;126;173;188;264;500;657;501;438;438;568;644;592;506;462;372;448;833
de-sh;Kiel;Bevoelkerung;2016_12_31;18;Einwohner nach Altersgruppen;Holtenau;151;124;196;93;146;160;213;293;344;355;316;339;448;484;427;344;328;346;400;580
de-sh;Kiel;Bevoelkerung;2016_12_31;19;Einwohner nach Altersgruppen;Pries;209;203;270;131;212;222;253;335;443;378;410;427;620;673;552;448;456;376;409;727
de-sh;Kiel;Bevoelkerung;2016_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;63;55;60;47;36;48;62;93;153;132;112;140;158;178;132;121;103;107;121;287
de-sh;Kiel;Bevoelkerung;2016_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;394;324;439;195;335;353;527;874;1052;839;678;701;811;986;837;747;622;560;665;1084
de-sh;Kiel;Bevoelkerung;2016_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;475;461;632;334;491;561;617;738;1038;963;980;940;1396;1544;1293;1168;1092;863;875;1167
de-sh;Kiel;Bevoelkerung;2016_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;225;263;422;202;317;308;292;324;396;354;483;587;883;812;691;600;541;520;626;901
de-sh;Kiel;Bevoelkerung;2016_12_31;24;Einwohner nach Altersgruppen;Schilksee;84;86;130;57;91;115;118;105;165;176;203;194;290;378;357;411;502;553;563;823
de-sh;Kiel;Bevoelkerung;2016_12_31;25;Einwohner nach Altersgruppen;Mettenhof;732;842;1146;521;791;743;736;919;1267;1164;1222;1100;1257;1454;1335;1065;928;856;1005;1398
de-sh;Kiel;Bevoelkerung;2016_12_31;26;Einwohner nach Altersgruppen;Russee;172;150;249;124;239;251;228;216;313;326;375;428;609;631;674;587;461;357;401;501
de-sh;Kiel;Bevoelkerung;2016_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;147;167;238;101;141;112;89;86;151;234;306;338;342;225;159;129;101;84;64;106
de-sh;Kiel;Bevoelkerung;2016_12_31;28;Einwohner nach Altersgruppen;Moorsee;87;98;132;52;66;55;54;54;73;165;206;180;156;157;131;102;100;84;71;94
de-sh;Kiel;Bevoelkerung;2016_12_31;29;Einwohner nach Altersgruppen;Wellsee;196;204;220;106;167;161;157;215;328;375;378;343;439;481;391;283;244;185;206;297
de-sh;Kiel;Bevoelkerung;2016_12_31;30;Einwohner nach Altersgruppen;Roenne;15;10;10;8;8;7;13;10;23;24;26;22;35;38;42;37;24;15;32;51
de-sh;Kiel;Bevoelkerung;2015_12_31;1;Einwohner nach Altersgruppen;Altstadt;12;6;6;3;5;4;19;74;107;57;47;18;35;30;19;37;17;24;38;140
de-sh;Kiel;Bevoelkerung;2015_12_31;2;Einwohner nach Altersgruppen;Vorstadt;28;19;11;8;9;4;50;170;231;119;82;62;74;62;52;56;66;66;78;93
de-sh;Kiel;Bevoelkerung;2015_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;142;78;78;40;45;56;193;802;1152;686;452;319;354;350;270;227;229;262;229;602
de-sh;Kiel;Bevoelkerung;2015_12_31;4;Einwohner nach Altersgruppen;Damperhof;79;48;46;25;31;30;116;405;537;384;247;161;185;173;137;140;141;127;132;268
de-sh;Kiel;Bevoelkerung;2015_12_31;5;Einwohner nach Altersgruppen;Brunswik;132;79;96;42;58;70;233;812;1050;698;466;313;378;336;274;272;224;239;264;615
de-sh;Kiel;Bevoelkerung;2015_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;80;73;88;53;64;85;114;243;303;222;187;179;246;203;172;171;178;190;187;243
de-sh;Kiel;Bevoelkerung;2015_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;357;266;304;115;205;191;310;952;1509;1205;860;705;797;717;598;502;448;410;384;617
de-sh;Kiel;Bevoelkerung;2015_12_31;8;Einwohner nach Altersgruppen;Wik;540;487;563;244;354;424;742;1667;2141;1610;1237;1029;1374;1291;1115;958;861;899;886;1393
de-sh;Kiel;Bevoelkerung;2015_12_31;9;Einwohner nach Altersgruppen;Ravensberg;315;183;184;86;127;112;546;1873;2469;1424;804;596;667;636;511;417;346;324;303;483
de-sh;Kiel;Bevoelkerung;2015_12_31;10;Einwohner nach Altersgruppen;Schreventeich;291;198;198;111;154;149;443;1664;2172;1243;729;568;700;598;576;477;420;360;373;684
de-sh;Kiel;Bevoelkerung;2015_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;315;212;221;105;169;213;587;1987;2719;1712;1017;803;944;818;675;501;445;464;508;966
de-sh;Kiel;Bevoelkerung;2015_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;604;557;693;347;465;533;692;1335;1889;1573;1411;1313;1446;1329;1071;863;696;554;452;758
de-sh;Kiel;Bevoelkerung;2015_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;299;272;373;157;256;245;329;564;771;711;650;648;816;925;792;575;551;546;559;798
de-sh;Kiel;Bevoelkerung;2015_12_31;14;Einwohner nach Altersgruppen;Hassee;260;230;307;179;285;309;463;954;1301;912;759;738;1016;956;827;657;513;545;558;840
de-sh;Kiel;Bevoelkerung;2015_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;61;65;91;62;103;93;115;109;132;136;154;148;280;265;175;180;128;149;168;332
de-sh;Kiel;Bevoelkerung;2015_12_31;16;Einwohner nach Altersgruppen;Ellerbek;152;139;175;116;162;165;182;326;381;375;348;343;468;458;433;363;358;316;333;624
de-sh;Kiel;Bevoelkerung;2015_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;220;182;226;110;159;189;276;514;639;473;431;420;622;615;596;504;450;415;438;796
de-sh;Kiel;Bevoelkerung;2015_12_31;18;Einwohner nach Altersgruppen;Holtenau;149;143;197;98;134;172;257;284;363;361;322;358;468;483;402;358;322;364;386;567
de-sh;Kiel;Bevoelkerung;2015_12_31;19;Einwohner nach Altersgruppen;Pries;205;188;270;129;216;228;239;328;404;362;434;434;639;674;553;423;458;404;407;694
de-sh;Kiel;Bevoelkerung;2015_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;61;56;72;34;47;48;68;94;137;140;115;124;168;160;131;108;126;113;125;264
de-sh;Kiel;Bevoelkerung;2015_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;360;318;416;185;331;366;450;807;958;793;634;681;854;985;809;726;625;616;602;1021
de-sh;Kiel;Bevoelkerung;2015_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;473;442;633;316;496;595;610;798;1005;953;951;1025;1449;1505;1296;1173;1087;890;813;1071
de-sh;Kiel;Bevoelkerung;2015_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;229;253;437;226;296;312;282;323;384;362;497;619;897;789;673;608;530;582;599;849
de-sh;Kiel;Bevoelkerung;2015_12_31;24;Einwohner nach Altersgruppen;Schilksee;78;75;111;52;91;110;94;117;153;147;191;211;288;375;356;408;507;617;522;743
de-sh;Kiel;Bevoelkerung;2015_12_31;25;Einwohner nach Altersgruppen;Mettenhof;712;841;1075;517;756;754;716;966;1183;1172;1146;1120;1286;1445;1315;1064;930;948;957;1282
de-sh;Kiel;Bevoelkerung;2015_12_31;26;Einwohner nach Altersgruppen;Russee;158;165;237;134;250;235;223;238;284;358;343;451;624;649;691;543;430;407;347;457
de-sh;Kiel;Bevoelkerung;2015_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;157;181;251;77;137;112;90;91;164;257;317;355;320;214;133;137;86;80;69;94
de-sh;Kiel;Bevoelkerung;2015_12_31;28;Einwohner nach Altersgruppen;Moorsee;81;96;106;47;58;54;52;48;79;162;188;165;168;150;131;96;97;88;61;92
de-sh;Kiel;Bevoelkerung;2015_12_31;29;Einwohner nach Altersgruppen;Wellsee;188;178;240;100;163;152;162;230;346;370;381;338;471;440;373;274;238;184;205;276
de-sh;Kiel;Bevoelkerung;2015_12_31;30;Einwohner nach Altersgruppen;Roenne;12;8;11;6;10;5;13;11;27;29;18;25;45;36;38;32;22;19;38;37
de-sh;Kiel;Bevoelkerung;2014_12_31;1;Einwohner nach Altersgruppen;Altstadt;11;4;5;1;4;2;26;79;103;58;41;21;31;24;25;29;21;23;41;132
de-sh;Kiel;Bevoelkerung;2014_12_31;2;Einwohner nach Altersgruppen;Vorstadt;30;11;10;4;9;1;29;139;191;126;79;56;71;66;52;59;55;62;71;68
de-sh;Kiel;Bevoelkerung;2014_12_31;3;Einwohner nach Altersgruppen;Exerzierplatz;128;82;74;21;51;49;190;849;1097;711;432;324;368;334;291;226;224;275;247;591
de-sh;Kiel;Bevoelkerung;2014_12_31;4;Einwohner nach Altersgruppen;Damperhof;75;46;39;27;28;35;99;420;527;392;242;169;187;169;130;147;128;131;140;268
de-sh;Kiel;Bevoelkerung;2014_12_31;5;Einwohner nach Altersgruppen;Brunswik;126;87;93;45;52;75;207;836;1020;693;458;330;386;324;281;272;206;261;266;619
de-sh;Kiel;Bevoelkerung;2014_12_31;6;Einwohner nach Altersgruppen;Duesternbrook;86;74;88;45;77;77;119;228;328;213;201;176;244;207;168;178;175;192;178;228
de-sh;Kiel;Bevoelkerung;2014_12_31;7;Einwohner nach Altersgruppen;Bluecherpatz;364;268;296;121;209;176;282;969;1396;1222;825;768;796;713;575;516;421;429;359;589
de-sh;Kiel;Bevoelkerung;2014_12_31;8;Einwohner nach Altersgruppen;Wik;500;473;513;240;328;399;728;1646;2001;1487;1212;1083;1378;1269;1105;933;842;958;887;1255
de-sh;Kiel;Bevoelkerung;2014_12_31;9;Einwohner nach Altersgruppen;Ravensberg;295;167;191;81;118;110;516;1980;2357;1422;805;597;652;597;506;397;317;358;278;503
de-sh;Kiel;Bevoelkerung;2014_12_31;10;Einwohner nach Altersgruppen;Schreventeich;296;168;215;104;157;147;432;1682;2101;1273;764;602;688;603;549;493;388;398;353;671
de-sh;Kiel;Bevoelkerung;2014_12_31;11;Einwohner nach Altersgruppen;Suedfriedhof;312;206;223;106;184;214;533;1975;2593;1720;984;832;1001;794;619;502;448;500;479;937
de-sh;Kiel;Bevoelkerung;2014_12_31;12;Einwohner nach Altersgruppen;Gaarden-Ost;565;519;640;312;431;490;651;1417;1737;1495;1350;1295;1439;1293;1053;816;681;581;422;713
de-sh;Kiel;Bevoelkerung;2014_12_31;13;Einwohner nach Altersgruppen;Gaarden-Sued/Kronsburg;294;265;339;163;243;237;335;569;736;731;657;642;848;954;732;584;535;590;535;787
de-sh;Kiel;Bevoelkerung;2014_12_31;14;Einwohner nach Altersgruppen;Hassee;247;238;311;182;286;299;437;985;1187;947;747;770;1055;940;777;643;510;599;536;803
de-sh;Kiel;Bevoelkerung;2014_12_31;15;Einwohner nach Altersgruppen;Hasseldieksdamm;64;63;95;65;90;101;86;119;137;116;142;154;293;246;183;168;133;157;170;324
de-sh;Kiel;Bevoelkerung;2014_12_31;16;Einwohner nach Altersgruppen;Ellerbek;146;126;206;96;169;164;168;326;381;354;327;338;480;444;398;356;357;339;340;573
de-sh;Kiel;Bevoelkerung;2014_12_31;17;Einwohner nach Altersgruppen;Wellingdorf;199;185;218;113;158;188;287;486;628;479;425;456;619;636;562;501;446;447;431;778
de-sh;Kiel;Bevoelkerung;2014_12_31;18;Einwohner nach Altersgruppen;Holtenau;110;97;145;76;125;133;147;176;253;248;257;334;484;471;368;365;296;415;355;511
de-sh;Kiel;Bevoelkerung;2014_12_31;19;Einwohner nach Altersgruppen;Pries;196;207;249;115;213;237;239;313;392;381;424;462;654;629;512;452;423;449;394;680
de-sh;Kiel;Bevoelkerung;2014_12_31;20;Einwohner nach Altersgruppen;Friedrichsort;50;55;76;16;43;58;60;92;148;113;119;124;184;144;142;101;121;126;131;234
de-sh;Kiel;Bevoelkerung;2014_12_31;21;Einwohner nach Altersgruppen;Neumuehlen/Dietrichsdorf;341;291;407;215;333;345;457;780;922;750;601;740;874;958;793;720;594;686;565;987
de-sh;Kiel;Bevoelkerung;2014_12_31;22;Einwohner nach Altersgruppen;Elmschenhagen;406;428;629;302;515;591;611;796;935;928;931;1066;1528;1492;1242;1222;1018;982;754;1012
de-sh;Kiel;Bevoelkerung;2014_12_31;23;Einwohner nach Altersgruppen;Suchsdorf;232;279;434;223;296;308;289;335;375;363;522;666;873;770;657;565;531;651;552;786
de-sh;Kiel;Bevoelkerung;2014_12_31;24;Einwohner nach Altersgruppen;Schilksee;74;73;107;55;97;118;95;123;153;156;181;222;295;382;360;442;489;666;490;697
de-sh;Kiel;Bevoelkerung;2014_12_31;25;Einwohner nach Altersgruppen;Mettenhof;698;802;1007;506;736;759;706;995;1138;1198;1096;1105;1328;1425;1298;1045;877;1050;920;1156
de-sh;Kiel;Bevoelkerung;2014_12_31;26;Einwohner nach Altersgruppen;Russee;149;161;245;145;245;246;237;248;299;321;347;510;630;664;691;522;387;443;329;409
de-sh;Kiel;Bevoelkerung;2014_12_31;27;Einwohner nach Altersgruppen;Meimersdorf;146;170;216;90;136;91;90;71;153;227;307;335;305;188;131;122;86;78;64;94
de-sh;Kiel;Bevoelkerung;2014_12_31;28;Einwohner nach Altersgruppen;Moorsee;79;99;102;38;60;44;54;60;94;164;185;150;162;154;125;89;85;92;61;89
de-sh;Kiel;Bevoelkerung;2014_12_31;29;Einwohner nach Altersgruppen;Wellsee;172;185;223;103;166;145;180;237;361;397;310;346;481;436;347;285;201;229;188;255
de-sh;Kiel;Bevoelkerung;2014_12_31;30;Einwohner nach Altersgruppen;Roenne;9;6;13;7;8;6;18;11;28;19;22;28;47;30;42;31;18;28;33;38
