Land;Stadt;Kategorie;Jahr;Stadtteil;Tuerkei;Polen;Irak;Russland;Ukraine;Syrien;Bulgarien;lat;lon
de-sh;Kiel;Bevoelkerung;2023;Altstadt        ;8;4.0;9;16;21;7;6;;
de-sh;Kiel;Bevoelkerung;2023;Vorstadt      ;11;8.0;5;22;16;12;1;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2023;Exerzierplatz   ;35;16.0;24;18;36;32;10;;
de-sh;Kiel;Bevoelkerung;2023;Damperhof  ;12;12.0;11;9;24;19;8;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2023;Brunswik    ;33;21.0;14;20;39;40;4;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2023;Duesternbrook  ;12;5.0;1;7;12;2;3;;
de-sh;Kiel;Bevoelkerung;2023;Bluecherplatz   ;26;22.0;10;15;78;29;0;;
de-sh;Kiel;Bevoelkerung;2023;Wik             ;135;83.0;68;77;845;176;18;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2023;Ravensberg;71;32.0;17;35;51;46;8;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2023;Schreventeich;40;25.0;18;31;52;62;3;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2023;Suedfriedhof  ;151;73.0;85;76;158;184;69;;
de-sh;Kiel;Bevoelkerung;2023;Gaarden-Ost ;1212;225.0;530;172;598;1186;1517;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2023;Gaarden-Sued/Kronsburg;145;109.0;99;48;147;340;97;;
de-sh;Kiel;Bevoelkerung;2023;Hassee    ;176;106.0;91;47;170;185;45;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2023;Hasseldieksdamm;13;9.0;3;7;15;7;2;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2023;Ellerbek     ;285;74.0;53;32;42;176;35;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2023;Wellingdorf  ;232;92.0;40;25;61;184;63;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2023;Holtenau   ;86;13.0;150;26;231;432;;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2023;Pries        ;122;38.0;67;31;153;163;5;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2023;Friedrichsort   ;70;25.0;17;7;18;51;;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2023;Neumuehlen/Dietrichsdorf;456;102.0;223;56;194;650;70;;
de-sh;Kiel;Bevoelkerung;2023;Elmschenhagen;275;138.0;188;31;168;339;48;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2023;Suchsdorf ;36;25.0;9;13;26;20;6;;
de-sh;Kiel;Bevoelkerung;2023;Schilksee  ;7;23.0;7;15;25;14;0;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2023;Mettenhof ;448;342.0;833;169;353;1412;15;;
de-sh;Kiel;Bevoelkerung;2023;Russee    ;41;33.0;25;14;31;33;3;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2023;Meimersdorf  ;34;14.0;4;5;14;3;7;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2023;Moorsee    ;42;4.0;17;2;3;19;1;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2023;Wellsee    ;70;71.0;31;29;35;18;13;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2023;Roenne     ;0;0.0;1;1;0;0;0;;
de-sh;Kiel;Bevoelkerung;2022;Altstadt        ;5;6.0;11;16;22;5;8;;
de-sh;Kiel;Bevoelkerung;2022;Vorstadt      ;8;8.0;5;22;10;15;0;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2022;Exerzierplatz   ;33;32.0;22;13;28;45;11;;
de-sh;Kiel;Bevoelkerung;2022;Damperhof  ;17;18.0;13;9;15;29;8;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2022;Brunswik    ;33;22.0;13;13;38;36;3;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2022;Duesternbrook  ;16;6.0;.;12;92;3;0;;
de-sh;Kiel;Bevoelkerung;2022;Bluecherplatz   ;27;25.0;10;10;74;38;0;;
de-sh;Kiel;Bevoelkerung;2022;Wik             ;137;76.0;69;70;717;188;16;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2022;Ravensberg;54;41.0;19;38;37;53;13;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2022;Schreventeich;41;24.0;12;26;45;55;7;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2022;Suedfriedhof  ;148;91.0;76;63;152;190;58;;
de-sh;Kiel;Bevoelkerung;2022;Gaarden-Ost ;1206;255.0;525;162;326;1144;1509;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2022;Gaarden-Sued/Kronsburg;142;114.0;95;41;111;304;96;;
de-sh;Kiel;Bevoelkerung;2022;Hassee    ;156;112.0;80;46;123;190;48;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2022;Hasseldieksdamm;13;14.0;4;8;21;.;5;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2022;Ellerbek     ;273;70.0;50;33;41;173;39;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2022;Wellingdorf  ;240;93.0;44;24;47;204;64;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2022;Holtenau   ;42;13.0;143;23;256;308;0;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2022;Pries        ;115;44.0;64;27;113;158;3;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2022;Friedrichsort   ;73;25.0;16;7;11;33;0;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2022;Neumuehlen/Dietrichsdorf;485;105.0;200;43;127;617;80;;
de-sh;Kiel;Bevoelkerung;2022;Elmschenhagen;258;155.0;177;31;119;347;47;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2022;Suchsdorf ;31;24.0;11;13;23;22;9;;
de-sh;Kiel;Bevoelkerung;2022;Schilksee  ;7;26.0;4;17;26;13;0;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2022;Mettenhof ;441;388.0;860;187;247;1419;14;;
de-sh;Kiel;Bevoelkerung;2022;Russee    ;42;30.0;27;14;30;29;.;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2022;Meimersdorf  ;35;14.0;4;5;26;.;7;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2022;Moorsee    ;42;8.0;22;.;5;16;.;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2022;Wellsee    ;65;68.0;34;27;29;34;13;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2022;Roenne     ;0;0.0;0;.;.;0;0;;
de-sh;Kiel;Bevoelkerung;2021;Altstadt        ;6;5.0;10;14;-;7;-;;
de-sh;Kiel;Bevoelkerung;2021;Vorstadt      ;8;6.0;4;11;-;19;-;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2021;Exerzierplatz   ;34;30.0;22;13;-;43;-;;
de-sh;Kiel;Bevoelkerung;2021;Damperhof  ;17;19.0;11;5;-;38;-;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2021;Brunswik    ;39;24.0;9;9;-;35;-;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2021;Duesternbrook  ;5;9.0;1;12;-;5;-;;
de-sh;Kiel;Bevoelkerung;2021;Bluecherplatz   ;23;25.0;11;9;-;52;-;;
de-sh;Kiel;Bevoelkerung;2021;Wik             ;141;76.0;55;77;-;222;-;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2021;Ravensberg;53;42.0;18;31;-;59;-;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2021;Schreventeich;40;22.0;27;30;-;38;-;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2021;Suedfriedhof  ;166;86.0;65;55;-;232;-;;
de-sh;Kiel;Bevoelkerung;2021;Gaarden-Ost ;1264;250.0;498;157;-;1176;-;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2021;Gaarden-Sued/Kronsburg;140;120.0;83;43;-;310;-;;
de-sh;Kiel;Bevoelkerung;2021;Hassee    ;163;110.0;79;34;-;193;-;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2021;Hasseldieksdamm;12;18.0;3;7;-;3;-;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2021;Ellerbek     ;284;64.0;52;36;-;164;-;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2021;Wellingdorf  ;239;95.0;45;25;-;208;-;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2021;Holtenau   ;34;14.0;136;24;-;285;-;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2021;Pries        ;118;52.0;63;28;-;171;-;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2021;Friedrichsort   ;74;24.0;15;6;-;34;-;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2021;Neumuehlen/Dietrichsdorf;466;110.0;190;45;-;636;-;;
de-sh;Kiel;Bevoelkerung;2021;Elmschenhagen;258;155.0;140;25;-;331;-;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2021;Suchsdorf ;27;28.0;18;12;-;22;-;;
de-sh;Kiel;Bevoelkerung;2021;Schilksee  ;7;29.0;3;17;-;12;-;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2021;Mettenhof ;468;397.0;846;191;-;1388;-;;
de-sh;Kiel;Bevoelkerung;2021;Russee    ;42;31.0;22;16;-;28;-;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2021;Meimersdorf  ;41;19.0;4;5;-;1;-;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2021;Moorsee    ;40;6.0;22;3;-;16;-;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2021;Wellsee    ;62;63.0;45;26;-;35;-;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2021;Roenne     ;;;1;;-;;-;;
de-sh;Kiel;Bevoelkerung;2020;Altstadt        ;5;4.0;8;16;-;3;6;;
de-sh;Kiel;Bevoelkerung;2020;Vorstadt      ;10;5.0;4;12;-;16;3;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2020;Exerzierplatz   ;33;30.0;29;14;-;47;14;;
de-sh;Kiel;Bevoelkerung;2020;Damperhof  ;11;17.0;9;1;-;43;6;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2020;Brunswik    ;37;22.0;5;11;-;40;1;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2020;Duesternbrook  ;5;6.0;5;7;-;7;2;;
de-sh;Kiel;Bevoelkerung;2020;Bluecherplatz   ;23;27.0;8;10;-;57;;;
de-sh;Kiel;Bevoelkerung;2020;Wik             ;138;75.0;65;84;-;216;15;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2020;Ravensberg;50;40.0;17;34;-;61;16;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2020;Schreventeich;46;22.0;35;23;-;39;1;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2020;Suedfriedhof  ;159;101.0;66;54;-;227;60;;
de-sh;Kiel;Bevoelkerung;2020;Gaarden-Ost ;1283;270.0;496;152;-;1194;1302;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2020;Gaarden-Sued/Kronsburg;150;116.0;81;34;-;282;93;;
de-sh;Kiel;Bevoelkerung;2020;Hassee    ;157;113.0;76;32;-;208;36;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;2020;Hasseldieksdamm;15;22.0;4;7;-;8;1;54.3198064;10.0787696
de-sh;Kiel;Bevoelkerung;2020;Ellerbek     ;283;59.0;67;37;-;167;31;54.315604;10.165314
de-sh;Kiel;Bevoelkerung;2020;Wellingdorf  ;241;101.0;41;25;-;178;69;54.325299;10.1849227
de-sh;Kiel;Bevoelkerung;2020;Holtenau   ;30;15.0;113;8;-;298;2;54.3724973;10.1361679
de-sh;Kiel;Bevoelkerung;2020;Pries        ;115;40.0;63;31;-;164;1;54.3979145;10.170429
de-sh;Kiel;Bevoelkerung;2020;Friedrichsort   ;78;25.0;16;8;-;30;-;54.393077;10.1790173
de-sh;Kiel;Bevoelkerung;2020;Neumuehlen/Dietrichsdorf;460;102.0;189;38;-;639;57;;
de-sh;Kiel;Bevoelkerung;2020;Elmschenhagen;253;159.0;121;27;-;318;42;54.2934876;10.184575
de-sh;Kiel;Bevoelkerung;2020;Suchsdorf ;26;35.0;22;11;-;17;10;;
de-sh;Kiel;Bevoelkerung;2020;Schilksee  ;6;38.0;3;19;-;11;;54.4210463;10.1703279
de-sh;Kiel;Bevoelkerung;2020;Mettenhof ;474;417.0;796;201;-;1307;13;;
de-sh;Kiel;Bevoelkerung;2020;Russee    ;43;34.0;21;16;-;30;4;54.3016426;10.0665383
de-sh;Kiel;Bevoelkerung;2020;Meimersdorf  ;39;19.0;4;5;-;1;5;54.2747652;10.1101233
de-sh;Kiel;Bevoelkerung;2020;Moorsee    ;35;6.0;22;3;-;12;7;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;2020;Wellsee    ;70;111.0;44;26;-;32;12;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;2020;Roenne     ;0;0.0;0;0;-;0;0;;
de-sh;Kiel;Bevoelkerung;2019;Altstadt        ;3;7.0;9;17;2;1;2;;
de-sh;Kiel;Bevoelkerung;2019;Vorstadt      ;12;5.0;3;11;2;13;2;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;2019;Exerzierplatz   ;33;30.0;33;15;12;51;15;;
de-sh;Kiel;Bevoelkerung;2019;Damperhof  ;11;17.0;11;2;1;38;3;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;2019;Brunswik    ;42;21.0;8;11;5;36;1;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;2019;Duesternbrook  ;7;6.0;5;5;4;6;3;;
de-sh;Kiel;Bevoelkerung;2019;Bluecherplatz   ;25;21.0;10;10;5;58;2;;
de-sh;Kiel;Bevoelkerung;2019;Wik             ;149;77.0;68;100;38;219;13;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;2019;Ravensberg;57;37.0;15;34;9;80;11;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;2019;Schreventeich;44;31.0;36;27;13;39;5;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;2019;Suedfriedhof  ;164;86.0;49;50;38;210;52;;
de-sh;Kiel;Bevoelkerung;2019;Gaarden-Ost ;1300;284.0;480;147;112;1162;1159;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;2019;Gaarden-Sued/Kronsburg;152;115.0;63;38;25;270;92;;
de-sh;Kiel;Bevoelkerung;2019;Hassee    ;171;118.0;85;25;16;212;35;54.3046465;10.1007406
