Land;Stadt;Kategorie;Jahr;Stadtteile;Merkmal;Einpersonen;Paar ohne Kind;Paar mit Kindern;Paar mit Nachkommen;Alleinerziehende;Sonst. Mehrpersonenhaushalte
de-sh;Kiel;Bevoelkerung;31_12_2018;Ellerbek;Personen;1817;1444;1733;313;432;582
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellingdorf;Personen;2545;1949;1672;398;771;697
de-sh;Kiel;Bevoelkerung;31_12_2018;Holtenau;Personen;1442;1584;1428;279;373;596
de-sh;Kiel;Bevoelkerung;31_12_2018;Pries;Personen;1860;1788;1858;464;726;725
de-sh;Kiel;Bevoelkerung;31_12_2018;Friedrichsort;Personen;712;461;506;83;156;174
de-sh;Kiel;Bevoelkerung;31_12_2018;Neumuehlen/Dietrichsdorf;Personen;3652;2955;2966;669;1344;1145
de-sh;Kiel;Bevoelkerung;31_12_2018;Elmschenhagen;Personen;4089;4312;4654;1203;1568;1394
de-sh;Kiel;Bevoelkerung;31_12_2018;Suchsdorf;Personen;1756;2563;3225;690;543;619
de-sh;Kiel;Bevoelkerung;31_12_2018;Schilksee;Personen;1293;1845;986;316;196;391
de-sh;Kiel;Bevoelkerung;31_12_2018;Mettenhof;Personen;3421;3820;7496;1236;2266;1792
de-sh;Kiel;Bevoelkerung;31_12_2018;Russee;Personen;1257;2088;2108;576;453;594
de-sh;Kiel;Bevoelkerung;31_12_2018;Meimersdorf;Personen;313;579;1858;206;231;172
de-sh;Kiel;Bevoelkerung;31_12_2018;Moorsee;Personen;253;499;944;131;122;145
de-sh;Kiel;Bevoelkerung;31_12_2018;Wellsee;Personen;1109;1245;1813;355;450;353
de-sh;Kiel;Bevoelkerung;31_12_2018;Roenne;Personen;70;150;128;22;19;36
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Haushalte;381;118;31;1;4;32
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Haushalte;669;163;38;5;13;51
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Haushalte;3312;758;217;27;117;222
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Haushalte;1747;350;128;16;46;109
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Haushalte;3331;696;196;43;129;199
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Haushalte;969;436;221;44;48;111
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Haushalte;4413;1289;713;81;272;302
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Haushalte;6407;2684;1183;255;460;568
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Haushalte;6335;1444;467;52;219;337
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Haushalte;5369;1431;553;67;229;339
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Haushalte;7578;1677;557;98;328;485
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Haushalte;6859;1216;1132;203;774;753
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Haushalte;3402;1219;663;150;321;399
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Haushalte;4676;1350;620;165;362;456
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Haushalte;664;377;217;54;57;94
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Haushalte;1817;723;422;92;154;236
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Haushalte;2545;976;433;121;302;299
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Haushalte;1442;791;362;87;135;227
de-sh;Kiel;Bevoelkerung;31_12_2017;Pries;Haushalte;1860;894;476;139;269;307
de-sh;Kiel;Bevoelkerung;31_12_2017;Friedrichsort;Haushalte;712;230;130;26;59;75
de-sh;Kiel;Bevoelkerung;31_12_2017;Neumuehlen/Dietrichsdorf;Haushalte;3652;1478;737;198;490;481
de-sh;Kiel;Bevoelkerung;31_12_2017;Elmschenhagen;Haushalte;4089;2156;1166;364;578;586
de-sh;Kiel;Bevoelkerung;31_12_2017;Suchsdorf;Haushalte;1756;1282;824;216;206;265
de-sh;Kiel;Bevoelkerung;31_12_2017;Schilksee;Haushalte;1293;921;253;98;80;175
de-sh;Kiel;Bevoelkerung;31_12_2017;Mettenhof;Haushalte;3421;1910;1689;365;734;737
de-sh;Kiel;Bevoelkerung;31_12_2017;Russee;Haushalte;1257;1044;552;181;174;244
de-sh;Kiel;Bevoelkerung;31_12_2017;Meimersdorf;Haushalte;313;289;478;60;91;72
de-sh;Kiel;Bevoelkerung;31_12_2017;Moorsee;Haushalte;253;249;245;39;43;61
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellsee;Haushalte;1109;623;463;110;165;148
de-sh;Kiel;Bevoelkerung;31_12_2017;Roenne;Haushalte;70;75;33;7;7;17
de-sh;Kiel;Bevoelkerung;31_12_2017;Altstadt;Personen;381;236;117;6;11;84
de-sh;Kiel;Bevoelkerung;31_12_2017;Vorstadt;Personen;669;327;147;16;31;128
de-sh;Kiel;Bevoelkerung;31_12_2017;Exerzierplatz;Personen;3312;1517;768;92;300;522
de-sh;Kiel;Bevoelkerung;31_12_2017;Damperhof;Personen;1747;698;476;53;105;246
de-sh;Kiel;Bevoelkerung;31_12_2017;Brunswik;Personen;3331;1392;721;135;304;462
de-sh;Kiel;Bevoelkerung;31_12_2017;Duesternbrook;Personen;969;866;872;145;122;265
de-sh;Kiel;Bevoelkerung;31_12_2017;Bluecherplatz;Personen;4413;2581;2646;259;639;683
de-sh;Kiel;Bevoelkerung;31_12_2017;Wik;Personen;6407;5368;4519;832;1190;1340
de-sh;Kiel;Bevoelkerung;31_12_2017;Ravensberg;Personen;6335;2888;1726;170;537;767
de-sh;Kiel;Bevoelkerung;31_12_2017;Schreventeich;Personen;5369;2863;2070;222;589;775
de-sh;Kiel;Bevoelkerung;31_12_2017;Suedfriedhof;Personen;7578;3360;2090;335;838;1135
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Ost;Personen;6859;2432;4762;723;2286;1816
de-sh;Kiel;Bevoelkerung;31_12_2017;Gaarden-Sued/Kronsburg;Personen;3402;2438;2628;498;848;950
de-sh;Kiel;Bevoelkerung;31_12_2017;Hassee;Personen;4676;2700;2426;554;929;1062
de-sh;Kiel;Bevoelkerung;31_12_2017;Hasseldieksdamm;Personen;664;754;864;176;161;233
de-sh;Kiel;Bevoelkerung;31_12_2017;Ellerbek;Personen;1817;1444;1733;313;432;582
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellingdorf;Personen;2545;1949;1672;398;771;697
de-sh;Kiel;Bevoelkerung;31_12_2017;Holtenau;Personen;1442;1584;1428;279;373;596
de-sh;Kiel;Bevoelkerung;31_12_2017;Pries;Personen;1860;1788;1858;464;726;725
de-sh;Kiel;Bevoelkerung;31_12_2017;Friedrichsort;Personen;712;461;506;83;156;174
de-sh;Kiel;Bevoelkerung;31_12_2017;Neumuehlen/Dietrichsdorf;Personen;3652;2955;2966;669;1344;1145
de-sh;Kiel;Bevoelkerung;31_12_2017;Elmschenhagen;Personen;4089;4312;4654;1203;1568;1394
de-sh;Kiel;Bevoelkerung;31_12_2017;Suchsdorf;Personen;1756;2563;3225;690;543;619
de-sh;Kiel;Bevoelkerung;31_12_2017;Schilksee;Personen;1293;1845;986;316;196;391
de-sh;Kiel;Bevoelkerung;31_12_2017;Mettenhof;Personen;3421;3820;7496;1236;2266;1792
de-sh;Kiel;Bevoelkerung;31_12_2017;Russee;Personen;1257;2088;2108;576;453;594
de-sh;Kiel;Bevoelkerung;31_12_2017;Meimersdorf;Personen;313;579;1858;206;231;172
de-sh;Kiel;Bevoelkerung;31_12_2017;Moorsee;Personen;253;499;944;131;122;145
de-sh;Kiel;Bevoelkerung;31_12_2017;Wellsee;Personen;1109;1245;1813;355;450;353
de-sh;Kiel;Bevoelkerung;31_12_2017;Roenne;Personen;70;150;128;22;19;36
de-sh;Kiel;Bevoelkerung;31_12_2016;Altstadt;Haushalte;369;93;26;1;10;27
de-sh;Kiel;Bevoelkerung;31_12_2016;Vorstadt;Haushalte;647;158;37;3;14;56
de-sh;Kiel;Bevoelkerung;31_12_2016;Exerzierplatz;Haushalte;3353;733;206;21;122;232
de-sh;Kiel;Bevoelkerung;31_12_2016;Damperhof;Haushalte;1743;348;142;15;42;106
de-sh;Kiel;Bevoelkerung;31_12_2016;Brunswik;Haushalte;3345;700;207;49;134;189
de-sh;Kiel;Bevoelkerung;31_12_2016;Duesternbrook;Haushalte;936;431;214;47;53;111
de-sh;Kiel;Bevoelkerung;31_12_2016;Bluecherplatz;Haushalte;4423;1291;702;87;274;302
de-sh;Kiel;Bevoelkerung;31_12_2016;Wik;Haushalte;6287;2723;1226;245;480;558
de-sh;Kiel;Bevoelkerung;31_12_2016;Ravensberg;Haushalte;6261;1493;448;61;235;309
de-sh;Kiel;Bevoelkerung;31_12_2016;Schreventeich;Haushalte;5425;1439;537;78;229;330
de-sh;Kiel;Bevoelkerung;31_12_2016;Suedfriedhof;Haushalte;7649;1691;525;98;315;477
de-sh;Kiel;Bevoelkerung;31_12_2016;Gaarden-Ost;Haushalte;7001;1229;1087;194;759;799
de-sh;Kiel;Bevoelkerung;31_12_2016;Gaarden-Sued/Kronsburg;Haushalte;3409;1200;652;162;326;385
de-sh;Kiel;Bevoelkerung;31_12_2016;Hassee;Haushalte;4648;1336;625;171;366;447
de-sh;Kiel;Bevoelkerung;31_12_2016;Hasseldieksdamm;Haushalte;669;361;224;53;59;97
de-sh;Kiel;Bevoelkerung;31_12_2016;Ellerbek;Haushalte;1792;705;417;92;154;234
de-sh;Kiel;Bevoelkerung;31_12_2016;Wellingdorf;Haushalte;2519;979;435;132;313;294
de-sh;Kiel;Bevoelkerung;31_12_2016;Holtenau;Haushalte;1457;817;384;86;138;233
de-sh;Kiel;Bevoelkerung;31_12_2016;Pries;Haushalte;1882;896;484;136;285;307
de-sh;Kiel;Bevoelkerung;31_12_2016;Friedrichsort;Haushalte;704;237;131;27;65;69
de-sh;Kiel;Bevoelkerung;31_12_2016;Neumuehlen/Dietrichsdorf;Haushalte;3626;1481;709;191;539;447
de-sh;Kiel;Bevoelkerung;31_12_2016;Elmschenhagen;Haushalte;4049;2138;1183;373;600;582
de-sh;Kiel;Bevoelkerung;31_12_2016;Suchsdorf;Haushalte;1781;1261;830;220;208;261
de-sh;Kiel;Bevoelkerung;31_12_2016;Schilksee;Haushalte;1281;926;260;95;82;186
de-sh;Kiel;Bevoelkerung;31_12_2016;Mettenhof;Haushalte;3385;1932;1680;369;748;734
de-sh;Kiel;Bevoelkerung;31_12_2016;Russee;Haushalte;1261;1043;571;178;178;232
de-sh;Kiel;Bevoelkerung;31_12_2016;Meimersdorf;Haushalte;303;295;461;60;86;75
de-sh;Kiel;Bevoelkerung;31_12_2016;Moorsee;Haushalte;253;242;243;38;47;61
de-sh;Kiel;Bevoelkerung;31_12_2016;Wellsee;Haushalte;1076;622;443;119;173;143
de-sh;Kiel;Bevoelkerung;31_12_2016;Roenne;Haushalte;72;76;33;7;6;18
de-sh;Kiel;Bevoelkerung;31_12_2016;Altstadt;Personen;369;187;95;7;30;69
de-sh;Kiel;Bevoelkerung;31_12_2016;Vorstadt;Personen;647;318;137;9;31;133
de-sh;Kiel;Bevoelkerung;31_12_2016;Exerzierplatz;Personen;3.353;1467;726;69;310;555
de-sh;Kiel;Bevoelkerung;31_12_2016;Damperhof;Personen;1.743;694;523;50;94;245
de-sh;Kiel;Bevoelkerung;31_12_2016;Brunswik;Personen;3.345;1401;758;154;309;453
de-sh;Kiel;Bevoelkerung;31_12_2016;Duesternbrook;Personen;936;861;841;163;132;270
de-sh;Kiel;Bevoelkerung;31_12_2016;Blücherplatz;Personen;4.423;2.587;2607;277;656;675
de-sh;Kiel;Bevoelkerung;31_12_2016;Wik;Personen;6.287;5.443;4.698;794;1204;1311
de-sh;Kiel;Bevoelkerung;31_12_2016;Ravensberg;Personen;6.261;2.986;1669;206;575;689
de-sh;Kiel;Bevoelkerung;31_12_2016;Schreventeich;Personen;5.425;2.876;2015;263;574;754
de-sh;Kiel;Bevoelkerung;31_12_2016;Suedfriedhof;Personen;7.649;3.386;1992;326;795;1134
de-sh;Kiel;Bevoelkerung;31_12_2016;Gaarden-Ost;Personen;7.001;2.458;4.606;682;2248;1911
de-sh;Kiel;Bevoelkerung;31_12_2016;Gaarden-Sued/Kronsburg;Personen;3.409;2.400;2572;535;864;907
de-sh;Kiel;Bevoelkerung;31_12_2016;Hassee;Personen;4.648;2.673;2428;571;944;1042
de-sh;Kiel;Bevoelkerung;31_12_2016;Hasseldieksdamm;Personen;669;722;899;170;156;237
de-sh;Kiel;Bevoelkerung;31_12_2016;Ellerbek;Personen;1.792;1410;1723;303;416;582
de-sh;Kiel;Bevoelkerung;31_12_2016;Wellingdorf;Personen;2.519;1.956;1676;435;805;692
de-sh;Kiel;Bevoelkerung;31_12_2016;Holtenau;Personen;1.457;1634;1562;282;355;597
de-sh;Kiel;Bevoelkerung;31_12_2016;Pries;Personen;1.882;1792;1872;454;757;736
de-sh;Kiel;Bevoelkerung;31_12_2016;Friedrichsort;Personen;704;474;498;88;173;159
de-sh;Kiel;Bevoelkerung;31_12_2016;Neumuehlen/Dietrichsdorf;Personen;3.626;2.968;2858;650;1450;1079
de-sh;Kiel;Bevoelkerung;31_12_2016;Elmschenhagen;Personen;4.049;4.276;4.685;1209;1593;1384
de-sh;Kiel;Bevoelkerung;31_12_2016;Suchsdorf;Personen;1.781;2.520;3246;714;547;606
de-sh;Kiel;Bevoelkerung;31_12_2016;Schilksee;Personen;1.281;1857;1023;307;213;416
de-sh;Kiel;Bevoelkerung;31_12_2016;Mettenhof;Personen;3.385;3.863;7.395;1258;2267;1791
de-sh;Kiel;Bevoelkerung;31_12_2016;Russee;Personen;1.261;2.086;2165;578;469;554
de-sh;Kiel;Bevoelkerung;31_12_2016;Meimersdorf;Personen;303;591;1786;201;220;181
de-sh;Kiel;Bevoelkerung;31_12_2016;Moorsee;Personen;253;485;927;127;140;147
de-sh;Kiel;Bevoelkerung;31_12_2016;Wellsee;Personen;1.076;1245;1748;387;475;333
de-sh;Kiel;Bevoelkerung;31_12_2016;Roenne;Personen;72;152;126;22;18;40
de-sh;Kiel;Bevoelkerung;31_12_2015;Altstadt;Haushalte;358;88;17;1;7;20
de-sh;Kiel;Bevoelkerung;31_12_2015;Vorstadt;Haushalte;633;153;36;3;19;65
de-sh;Kiel;Bevoelkerung;31_12_2015;Exerzierplatz;Haushalte;3.367;721;186;25;130;223
de-sh;Kiel;Bevoelkerung;31_12_2015;Damperhof;Haushalte;1.767;354;131;12;50;94
de-sh;Kiel;Bevoelkerung;31_12_2015;Brunswik;Haushalte;3.440;717;205;44;140;169
de-sh;Kiel;Bevoelkerung;31_12_2015;Duesternbrook;Haushalte;952;415;214;52;53;103
de-sh;Kiel;Bevoelkerung;31_12_2015;Bluecherplatz;Haushalte;4.505;1.306;664;101;284;298
de-sh;Kiel;Bevoelkerung;31_12_2015;Wik;Haushalte;6.328;2.623;1.193;233;486;548
de-sh;Kiel;Bevoelkerung;31_12_2015;Ravensberg;Haushalte;6.390;1.404;457;56;229;286
de-sh;Kiel;Bevoelkerung;31_12_2015;Schreventeich;Haushalte;5.533;1.394;520;93;225;337
de-sh;Kiel;Bevoelkerung;31_12_2015;Suedfriedhof;Haushalte;7.595;1.697;522;89;312;457
de-sh;Kiel;Bevoelkerung;31_12_2015;Gaarden-Ost;Haushalte;6.965;1.258;1.014;179;750;728
de-sh;Kiel;Bevoelkerung;31_12_2015;Gaarden-Sued/Kronsburg;Haushalte;3.355;1.192;661;172;315;381
de-sh;Kiel;Bevoelkerung;31_12_2015;Hassee;Haushalte;4.706;1.336;623;170;383;436
de-sh;Kiel;Bevoelkerung;31_12_2015;Hasseldieksdamm;Haushalte;681;357;224;47;66;92
de-sh;Kiel;Bevoelkerung;31_12_2015;Ellerbek;Haushalte;1.760;703;395;87;147;224
de-sh;Kiel;Bevoelkerung;31_12_2015;Wellingdorf;Haushalte;2.484;1.010;429;130;295;313
de-sh;Kiel;Bevoelkerung;31_12_2015;Holtenau;Haushalte;1.593;808;397;83;145;220
de-sh;Kiel;Bevoelkerung;31_12_2015;Pries;Haushalte;1.898;929;478;125;280;290
de-sh;Kiel;Bevoelkerung;31_12_2015;Friedrichsort;Haushalte;695;243;121;27;80;64
de-sh;Kiel;Bevoelkerung;31_12_2015;Neumuehlen/Dietrichsdorf;Haushalte;3.536;1.371;696;202;530;438
de-sh;Kiel;Bevoelkerung;31_12_2015;Elmschenhagen;Haushalte;4.042;2.149;1.197;377;588;562
de-sh;Kiel;Bevoelkerung;31_12_2015;Suchsdorf;Haushalte;1.767;1.268;843;212;215;254
de-sh;Kiel;Bevoelkerung;31_12_2015;Schilksee;Haushalte;1.267;918;252;98;76;179
de-sh;Kiel;Bevoelkerung;31_12_2015;Mettenhof;Haushalte;3.370;1.971;1.633;370;767;713
de-sh;Kiel;Bevoelkerung;31_12_2015;Russee;Haushalte;1.230;1.038;570;186;185;214
de-sh;Kiel;Bevoelkerung;31_12_2015;Meimersdorf;Haushalte;306;288;460;63;90;79
de-sh;Kiel;Bevoelkerung;31_12_2015;Moorsee;Haushalte;247;252;230;34;46;54
de-sh;Kiel;Bevoelkerung;31_12_2015;Wellsee;Haushalte;1.040;651;450;106;154;144
de-sh;Kiel;Bevoelkerung;31_12_2015;Roenne;Haushalte;69;75;35;10;4;19
de-sh;Kiel;Bevoelkerung;31_12_2015;Altstadt;Personen;358;177;60;4;20;46
de-sh;Kiel;Bevoelkerung;31_12_2015;Vorstadt;Personen;633;306;132;9;49;176
de-sh;Kiel;Bevoelkerung;31_12_2015;Exerzierplatz;Personen;3367;1436;653;84;327;530
de-sh;Kiel;Bevoelkerung;31_12_2015;Damperhof;Personen;1767;708;486;38;116;214
de-sh;Kiel;Bevoelkerung;31_12_2015;Brunswik;Personen;3440;1436;748;138;320;406
de-sh;Kiel;Bevoelkerung;31_12_2015;Duesternbrook;Personen;952;828;857;175;130;250
de-sh;Kiel;Bevoelkerung;31_12_2015;Bluecherplatz;Personen;4505;2614;2476;316;684;650
de-sh;Kiel;Bevoelkerung;31_12_2015;Wik;Personen;6328;5229;4536;747;1231;1246
de-sh;Kiel;Bevoelkerung;31_12_2015;Ravensberg;Personen;6390;2804;1677;187;558;630
de-sh;Kiel;Bevoelkerung;31_12_2015;Schreventeich;Personen;5533;2784;1942;311;553;775
de-sh;Kiel;Bevoelkerung;31_12_2015;Suedfriedhof;Personen;7595;3391;1972;295;762;1087
de-sh;Kiel;Bevoelkerung;31_12_2015;Gaarden-Ost;Personen;6965;2514;4326;613;2157;1739
de-sh;Kiel;Bevoelkerung;31_12_2015;Gaarden-Sued/Kronsburg;Personen;3355;2385;2583;563;819;882
de-sh;Kiel;Bevoelkerung;31_12_2015;Hassee;Personen;4706;2673;2391;568;993;1003
de-sh;Kiel;Bevoelkerung;31_12_2015;Hasseldieksdamm;Personen;681;715;887;152;172;231
de-sh;Kiel;Bevoelkerung;31_12_2015;Ellerbek;Personen;1760;1405;1612;296;395;535
de-sh;Kiel;Bevoelkerung;31_12_2015;Wellingdorf;Personen;2484;2019;1625;427;738;717
de-sh;Kiel;Bevoelkerung;31_12_2015;Holtenau;Personen;1593;1617;1570;274;382;558
de-sh;Kiel;Bevoelkerung;31_12_2015;Pries;Personen;1898;1858;1850;420;738;686
de-sh;Kiel;Bevoelkerung;31_12_2015;Friedrichsort;Personen;695;486;459;89;218;148
de-sh;Kiel;Bevoelkerung;31_12_2015;Neumuehlen/Dietrichsdorf;Personen;3536;2742;2768;680;1404;1043
de-sh;Kiel;Bevoelkerung;31_12_2015;Elmschenhagen;Personen;4042;4298;4735;1236;1563;1318
de-sh;Kiel;Bevoelkerung;31_12_2015;Suchsdorf;Personen;1767;2535;3285;703;557;589
de-sh;Kiel;Bevoelkerung;31_12_2015;Schilksee;Personen;1267;1838;970;316;188;404
de-sh;Kiel;Bevoelkerung;31_12_2015;Mettenhof;Personen;3370;3944;7105;1255;2320;1721
de-sh;Kiel;Bevoelkerung;31_12_2015;Russee;Personen;1230;2076;2163;605;480;503
de-sh;Kiel;Bevoelkerung;31_12_2015;Meimersdorf;Personen;306;575;1784;205;224;194
de-sh;Kiel;Bevoelkerung;31_12_2015;Moorsee;Personen;247;503;865;112;126;127
de-sh;Kiel;Bevoelkerung;31_12_2015;Wellsee;Personen;1040;1304;1761;347;427;329
de-sh;Kiel;Bevoelkerung;31_12_2015;Roenne;Personen;69;150;125;30;12;42
